Label ID;date;site_name ;City;Site_type ;Location_in_network;Collector_type;
OTT-OTHERS-N-3_2-1338535_S37_L002;;;;;;;
OTT-OTHERS-N-33_2-1338615_S67_L002;;;;;;;
OTT-OTHERS-N-4_2-1338536_S38_L002;;;;;;;
OTT-OTHERS-N-5_2-1338537_S39_L002;;;;;;;
OTT-OTHERS-N-6_2-1338538_S40_L002;;;;;;;
OTT-OTHERS-N-7_2-1338539_S41_L002;;;;;;;
OTT-WW-N-10_2-1338542_S44_L002;;;;;;;
OTT-WW-N-11_2-1338543_S45_L002;;;;;;;
OTT-WW-N-12_2-1338544_S46_L002;;;;;;;
OTT-WW-N-13_2-1338545_S47_L002;;;;;;;
OTT-WW-N-14_2-1338546_S48_L002;;;;;;;
OTT-WW-N-15_2-1338547_S49_L002;;;;;;;
OTT-WW-N-16_2-1338548_S50_L002;;;;;;;
OTT-WW-N-17_2-1338549_S51_L002;;;;;;;
OTT-WW-N-18_2-1338550_S52_L002;;;;;;;
