Label ID;date;site_name ;City;Site_type ;Location_in_network;Collector_type;
MTL_81_cpFP24h_rawWW_2021-05-06_2-1516686_S226_L002;2021-05-06;8.1-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_81_cpFP24h_rawWW_2021-05-07_2-1516687_S227_L002;2021-05-07;8.1-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-03-30_2-1516688_S228_L002;2021-03-30;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-03-31_2-1516689_S229_L002;2021-03-31;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-03_2-1516690_S230_L002;2021-04-03;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-04_2-1516691_S231_L002;2021-04-04;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-05_2-1516692_S232_L002;2021-04-05;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-06_2-1516693_S233_L002;2021-04-06;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-07_2-1516694_S234_L002;2021-04-07;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-08_2-1516695_S235_L002;2021-04-08;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-17_2-1516696_S236_L002;2021-04-17;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-18_2-1516697_S237_L002;2021-04-18;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
MTL_82_cpFP24h_rawWW_2021-04-19_2-1516698_S238_L002;2021-04-19;8.2-MtlNord-Est;Montreal;Residential;Montreal Nord;Composite;
