Sample;Sampling_date;Sampling_site;Ct
MTL_05_cpTP24h_Raw;2021-04-21;05-CoteDNeige;30.6061804639302
MTL_16_cpTP24h_Raw;2021-04-21;16-Bordeau;33.8782887249122
MTL_12_cpTP24h_Raw;2021-04-21;12-Anjou-ind;40.9016662653987
MTL_11_PS_Filter;2021-04-22;11-VSTL-ind;40.4458738538633
MTL_05_PS_Filter;2021-04-22;05-CoteDNeige;33.2767027252117
MTL_16_PS_Filter;2021-04-22;16-Bordeau;42.391
MTL_11_cpTP24h_Raw;2021-04-22;11-VSTL-ind;42.391
MTL_05_cpTP24h_Raw;2021-04-22;05-CoteDNeige;31.4200220882367
MTL_16_cpTP24h_Raw;2021-04-22;16-Bordeau;34.9823301505982
MTL_12_cpTP24h_Raw;2021-04-22;12-Anjou-ind;42.391
MTL_11_cpTP24h_Raw;2021-04-23;11-VSTL-ind;42.391
MTL_05_cpTP24h_Raw;2021-04-23;05-CoteDNeige;30.5506184303606
MTL_16_cpTP24h_Raw;2021-04-23;16-Bordeau;35.3400464687567
MTL_12_cpTP24h_Raw;2021-04-23;12-Anjou-ind;42.391
MTL_05_PS_Filter;2021-04-23;05-CoteDNeige;31.2599681148425
MTL_16_PS_Filter;2021-04-23;16-Bordeau;39.2457422218885
MTL_12_PS_Filter;2021-04-23;12-Anjou-ind;42.391
MTL_11_PS_Filter;2021-04-26;11-VSTL-ind;40.3554431559184
MTL_05_PS_Filter;2021-04-26;05-CoteDNeige;33.1771698280683
MTL_16_PS_Filter;2021-04-26;16-Bordeau;40.3316268371368
MTL_12_PS_Filter;2021-04-26;12-Anjou-ind;42.391
MTL_11_cpTP24h_Raw;2021-04-24;11-VSTL-ind;42.391
MTL_05_cpTP24h_Raw;2021-04-24;05-CoteDNeige;30.8579470754696
MTL_16_cpTP24h_Raw;2021-04-24;16-Bordeau;35.0900727186477
MTL_12_cpTP24h_Raw;2021-04-24;12-Anjou-ind;40.3050987879668
MTL_11_cpTP24h_Raw;2021-04-25;11-VSTL-ind;42.391
MTL_05_cpTP24h_Raw;2021-04-25;05-CoteDNeige;31.1505321585218
MTL_16_cpTP24h_Raw;2021-04-25;16-Bordeau;35.1346421138822
MTL_12_cpTP24h_Raw;2021-04-25;12-Anjou-ind;42.391
MTL_12_cpTP24h_Raw;2021-04-26;12-Anjou-ind;39.1363679785884
MTL_11_cpTP24h_Raw;2021-04-27;11-VSTL-ind;35.1069981070895
MTL_05_cpTP24h_Raw;2021-04-27;05-CoteDNeige;31.6745119406603
MTL_16_cpTP24h_Raw;2021-04-27;16-Bordeau;34.9347308726515
MTL_12_cpTP24h_Raw;2021-04-27;12-Anjou-ind;36.0419644954194
MTL_11_cpTP24h_Raw;2021-04-28;11-VSTL-ind;39.8398162207969
MTL_05_cpTP24h_Raw;2021-04-28;05-CoteDNeige;30.1223261847722
MTL_16_cpTP24h_Raw;2021-04-28;16-Bordeau;29.815844681791
MTL_12_cpTP24h_Raw;2021-04-28;12-Anjou-ind;40.1783704565282
MTL_11_cpTP24h_Raw;2021-04-29;11-VSTL-ind;39.2255586130963
MTL_05_cpTP24h_Raw;2021-04-29;05-CoteDNeige;31.0723622068132
MTL_16_cpTP24h_Raw;2021-04-29;16-Bordeau;33.8263382443954
MTL_12_cpTP24h_Raw;2021-04-29;12-Anjou-ind;37.9765394139776
